CodePoint,LongName
0xF3D2,\[Distributed]
0xF3D7,\[Divergence]
0x00F7,\[Divide]
0x2223,\[Divides]
0x2215,\[DivisionSlash]
0x2250,\[DotEqual]
0x0131,\[DotlessI]
0xF700,\[DotlessJ]
0xF751,\[DottedSquare]
0x222F,\[DoubleContourIntegral]
0x2021,\[DoubleDagger]
0xF74A,\[DoubledGamma]
0x00A8,\[DoubleDot]
0x21D3,\[DoubleDownArrow]
0xF749,\[DoubledPi]
0x21D0,\[DoubleLeftArrow]
0x21D4,\[DoubleLeftRightArrow]
0x2AE4,\[DoubleLeftTee]
0x27F8,\[DoubleLongLeftArrow]
0x27FA,\[DoubleLongLeftRightArrow]
0x27F9,\[DoubleLongRightArrow]
0x2033,\[DoublePrime]
0x21D2,\[DoubleRightArrow]
0x22A8,\[DoubleRightTee]
0xF6E6,\[DoubleStruckA]
0xF6E7,\[DoubleStruckB]
0xF6E8,\[DoubleStruckC]
0xF7A4,\[DoubleStruckCapitalA]
0xF7A5,\[DoubleStruckCapitalB]
0xF7A6,\[DoubleStruckCapitalC]
0xF7A7,\[DoubleStruckCapitalD]
0xF7A8,\[DoubleStruckCapitalE]
0xF7A9,\[DoubleStruckCapitalF]
0xF7AA,\[DoubleStruckCapitalG]
0xF7AB,\[DoubleStruckCapitalH]
0xF7AC,\[DoubleStruckCapitalI]
0xF7AD,\[DoubleStruckCapitalJ]
0xF7AE,\[DoubleStruckCapitalK]
0xF7AF,\[DoubleStruckCapitalL]
0xF7B0,\[DoubleStruckCapitalM]
0xF7B1,\[DoubleStruckCapitalN]
0xF7B2,\[DoubleStruckCapitalO]
0xF7B3,\[DoubleStruckCapitalP]
0xF7B4,\[DoubleStruckCapitalQ]
0xF7B5,\[DoubleStruckCapitalR]
0xF7B6,\[DoubleStruckCapitalS]
0xF7B7,\[DoubleStruckCapitalT]
0xF7B8,\[DoubleStruckCapitalU]
0xF7B9,\[DoubleStruckCapitalV]
0xF7BA,\[DoubleStruckCapitalW]
0xF7BB,\[DoubleStruckCapitalX]
0xF7BC,\[DoubleStruckCapitalY]
0xF7BD,\[DoubleStruckCapitalZ]
0xF6E9,\[DoubleStruckD]
0xF6EA,\[DoubleStruckE]
0xF7E3,\[DoubleStruckEight]
0xF6EB,\[DoubleStruckF]
0xF7E0,\[DoubleStruckFive]
0xF7DF,\[DoubleStruckFour]
0xF6EC,\[DoubleStruckG]
0xF6ED,\[DoubleStruckH]
0xF6EE,\[DoubleStruckI]
0xF6EF,\[DoubleStruckJ]
0xF6F0,\[DoubleStruckK]
0xF6F1,\[DoubleStruckL]
0xF6F2,\[DoubleStruckM]
0xF6F3,\[DoubleStruckN]
0xF7E4,\[DoubleStruckNine]
0xF6F4,\[DoubleStruckO]
0xF7DC,\[DoubleStruckOne]
0xF6F5,\[DoubleStruckP]
0xF6F6,\[DoubleStruckQ]
0xF6F7,\[DoubleStruckR]
0xF6F8,\[DoubleStruckS]
0xF7E2,\[DoubleStruckSeven]
0xF7E1,\[DoubleStruckSix]
0xF6F9,\[DoubleStruckT]
0xF7DE,\[DoubleStruckThree]
0xF7DD,\[DoubleStruckTwo]
0xF6FA,\[DoubleStruckU]
0xF6FB,\[DoubleStruckV]
0xF6FC,\[DoubleStruckW]
0xF6FD,\[DoubleStruckX]
0xF6FE,\[DoubleStruckY]
0xF6FF,\[DoubleStruckZ]
0xF7DB,\[DoubleStruckZero]
0x21D1,\[DoubleUpArrow]
0x21D5,\[DoubleUpDownArrow]
0x2225,\[DoubleVerticalBar]
0x2193,\[DownArrow]
0x2913,\[DownArrowBar]
0x21F5,\[DownArrowUpArrow]
0xF755,\[DownBreve]
0x00A1,\[DownExclamation]
0x2950,\[DownLeftRightVector]
0x295E,\[DownLeftTeeVector]
0x21BD,\[DownLeftVector]
0x2956,\[DownLeftVectorBar]
0x25BE,\[DownPointer]
0x00BF,\[DownQuestion]
0x295F,\[DownRightTeeVector]
0x21C1,\[DownRightVector]
0x2957,\[DownRightVectorBar]
0x22A4,\[DownTee]
0x21A7,\[DownTeeArrow]
0x00E9,\[EAcute]
0xF3DF,\[Earth]
0x0113,\[EBar]
0x0115,\[ECup]
0x00EB,\[EDoubleDot]
0x00E8,\[EGrave]
0x011B,\[EHacek]
0x00EA,\[EHat]
0x266A,\[EighthNote]
0x2208,\[Element]
0x2026,\[Ellipsis]
0x25CB,\[EmptyCircle]
0x25C7,\[EmptyDiamond]
0x25BD,\[EmptyDownTriangle]
0x25AF,\[EmptyRectangle]
0x2205,\[EmptySet]
0x25E6,\[EmptySmallCircle]
0x25FB,\[EmptySmallSquare]
0x25A1,\[EmptySquare]
0x25B3,\[EmptyUpTriangle]
0x25AB,\[EmptyVerySmallSquare]
0xF7D4,\[EnterKey]
0xF3B9,\[EntityEnd]
0xF3B8,\[EntityStart]
0x03F5,\[Epsilon]
0xF431,\[Equal]
0x2242,\[EqualTilde]
0x21CC,\[Equilibrium]
0x29E6,\[Equivalent]
0xF767,\[ErrorIndicator]
0xF769,\[EscapeKey]
0x03B7,\[Eta]
0x00F0,\[Eth]
0x20AC,\[Euro]
0x2203,\[Exists]
0xF3DD,\[ExpectationE]
0xF74D,\[ExponentialE]
0xFB01,\[FiLigature]
0x25CF,\[FilledCircle]
0x25C6,\[FilledDiamond]
0x25BC,\[FilledDownTriangle]
0x25C0,\[FilledLeftTriangle]
0x25AE,\[FilledRectangle]
0x25B6,\[FilledRightTriangle]
0xF750,\[FilledSmallCircle]
0x25FC,\[FilledSmallSquare]
0x25A0,\[FilledSquare]
0x25B2,\[FilledUpTriangle]
0x25AA,\[FilledVerySmallSquare]
0x03C2,\[FinalSigma]
0xF7FA,\[FirstPage]
0x2605,\[FivePointedStar]
0x266D,\[Flat]
0xFB02,\[FlLigature]
0x0192,\[Florin]
0x2200,\[ForAll]
0xF800,\[FormalA]
0xF854,\[FormalAlpha]
0xF801,\[FormalB]
0xF855,\[FormalBeta]
0xF802,\[FormalC]
0xF81A,\[FormalCapitalA]
0xF834,\[FormalCapitalAlpha]
0xF81B,\[FormalCapitalB]
0xF835,\[FormalCapitalBeta]
0xF81C,\[FormalCapitalC]
0xF84A,\[FormalCapitalChi]
0xF81D,\[FormalCapitalD]
0xF837,\[FormalCapitalDelta]
0xF87F,\[FormalCapitalDigamma]
0xF81E,\[FormalCapitalE]
0xF838,\[FormalCapitalEpsilon]
0xF83A,\[FormalCapitalEta]
0xF81F,\[FormalCapitalF]
